72469903065
DATE|TEMP|MIN|MAX|DEWP|STP|VISIB|WDSP|MXSPD|GUST|PRCP
2010-01-01|30.4|24.8|39.2|9.9|828.5|46.9|6.1|11.1||0.0
2010-01-02|32.3|21.2|44.6|19.6|825.1|29.4|5.5|12.0||0.0
2010-01-03|33.9|28.4|39.2|20.4|830.1|27.8|5.2|12.0|20.0|
2010-01-04|30.7|19.4|41.0|19.3|831.7|36.1|2.7|6.0||0.0
2010-01-05|39.9|28.4|48.2|17.6|825.5|43.1|9.3|25.1|33.0|0.0
2010-01-06|28.0|8.6|46.4|15.6|825.2|13.6|9.9|24.1|28.0|
2010-01-07|6.9|-2.2|14.0|0.6|832.2|10.4|2.4|6.0||
2010-01-08|14.8|3.2|28.4|1.3|830.1|41.3|1.9|4.1||0.0
2010-01-09|32.5|21.2|44.6|8.3|828.9|47.4|1.3|5.1||0.0
2010-01-10|37.9|30.2|50.0|9.3|831.1|49.4|4.1|9.9||0.0
2010-01-11|39.1|28.4|50.0|13.7|833.9|40.0|4.8|8.0||0.0
2010-01-12|46.4|35.6|59.0|7.4|830.3|45.0|2.7|8.0||0.0
2010-01-13|50.3|42.8|57.2|7.4|824.4|44.1|5.4|15.0||0.0
2010-01-14|40.0|32.0|44.6|20.2|826.6|27.5|3.2|8.0||0.0
2010-01-15|38.9|28.4|48.2|18.2|829.8|29.4|4.5|9.9||0.0
2010-01-16|42.9|32.0|57.2|16.2|824.6|48.2|3.2|8.0||0.0
2010-01-17|45.9|39.2|55.4|17.4|821.3|39.7|3.2|8.0||0.0
2010-01-18|42.7|32.0|50.0|23.8|819.0|40.0|3.1|7.0||0.0
2010-01-19|38.4|33.8|44.6|25.4|814.0|27.3|4.2|9.9||0.0
2010-01-20|35.4|28.4|41.0|16.1|810.8|33.8|6.2|14.0|17.1|0.0
2010-01-21|32.3|26.6|39.2|16.8|810.9|44.1|4.3|8.0||0.0
2010-01-22|36.2|28.4|53.6|19.4|803.9|22.1|4.9|12.0||0.0
2010-01-23|40.4|33.8|46.4|6.6|806.4|42.4|8.8|22.9|29.9|0.0
2010-01-24|35.8|30.2|41.0|3.6|814.8|43.5|14.9|20.0|29.9|0.0
2010-01-25|33.9|26.6|44.6|3.8|819.6|47.3|13.3|25.1|31.1|0.0
2010-01-26|32.6|21.2|41.0|13.0|822.4|42.2|3.8|8.0||0.0
2010-01-27|32.8|24.8|39.2|19.2|824.5|32.8|4.9|12.0||0.0
2010-01-28|28.0|26.6|32.0|26.4|829.5|3.2|5.6|11.1||
2010-01-29|33.1|23.0|44.6|19.8|826.1|8.6|1.5|5.1||0.0
2010-01-30|38.1|26.6|50.0|11.5|824.1|42.2|3.3|9.9||0.0
2010-01-31|34.2|26.6|39.2|17.8|820.4|25.7|6.5|12.0||0.0
2010-02-01|37.8|28.4|46.4|9.7|819.7|27.4|6.7|22.9|28.9|0.0
2010-02-02|33.6|23.0|44.6|9.3|822.9|10.0|5.9|20.0|26.0|0.0
2010-02-03|39.3|32.0|46.4|9.7|821.3|43.8|2.9|8.9||0.0
2010-02-04|38.1|30.2|48.2|20.0|817.0|15.0|6.1|18.1|25.1|
2010-02-05|37.7|30.2|46.4|7.7|819.8|32.9|4.4|19.0|28.9|0.0
2010-02-06|32.5|24.8|44.6|22.8|822.0|9.6|4.3|14.0||0.0
2010-02-07|30.9|28.4|33.8|24.8|820.6|6.6|3.6|8.0||
2010-02-08|24.8|17.6|28.4|22.1|821.7|3.3|3.5|15.9|20.0|
