72053300160
DATE|TEMP|MIN|MAX|DEWP|STP|VISIB|WDSP|MXSPD|GUST|PRCP
2010-02-01|46.8|44.6|50.0|11.3||10.0|11.9|15.9|25.1|0.0
2010-02-02|36.9|26.6|46.4|14.6||10.0|2.5|9.9|20.0|0.0
2010-02-03|38.3|30.2|48.2|18.9||10.0|1.2|4.1||0.0
2010-02-04|41.7|33.8|51.8|26.8||8.9|3.7|26.0|33.0|
2010-02-05|41.7|32.0|50.0|13.9||10.0|5.3|23.9|30.9|0.0
2010-02-06|35.5|30.2|44.6|27.6||7.5|1.9|8.9||0.0
2010-02-07|34.6|32.0|41.0|29.7||7.7|0.9|5.1||
2010-02-08|29.1|23.0|33.8|26.9||4.0|2.6|8.9|16.9|
2010-02-09|21.3|12.2|30.2|15.5||7.7|0.9|5.1||
2010-02-10|25.6|17.6|39.2|17.8||9.8|1.0|5.1||0.0
2010-02-11|33.7|26.6|42.8|22.0||10.0|1.8|7.0||0.0
2010-02-12|40.3|30.2|50.0|18.7||10.0|5.5|20.0|29.9|0.0
2010-02-13|45.4|37.4|51.8|19.2||10.0|8.6|23.9|30.9|0.0
2010-02-14|31.1|23.0|42.8|19.5||7.9|5.0|11.1|19.0|
2010-02-15|27.4|17.6|39.2|10.7||10.0|2.1|5.1||0.0
2010-02-16|31.7|21.2|44.6|12.4||10.0|1.6|6.0||0.0
2010-02-17|36.3|28.4|50.0|17.1||10.0|1.7|5.1||0.0
2010-02-18|39.1|33.8|44.6|27.6||9.5|2.3|13.0|15.0|
2010-02-19|30.1|28.4|32.0|27.4||6.1|2.7|13.0|16.9|
2010-02-20|29.8|28.4|32.0|27.6||5.8|3.0|7.0||
2010-02-21|25.3|21.2|30.2|22.9||3.0|5.0|8.0||
2010-02-22|22.3|17.6|30.2|17.4||5.3|1.4|5.1||
2010-02-23|27.4|17.6|44.6|14.2||10.0|1.8|8.0||0.0
2010-02-24|35.0|26.6|44.6|18.0||10.0|1.4|6.0||0.0
2010-02-25|42.2|35.6|46.4|24.0||10.0|3.7|12.0|15.0|
2010-02-26|38.5|30.2|50.0|27.1||9.0|1.9|6.0||
2010-02-27|37.8|30.2|50.0|21.6||10.0|1.6|7.0||0.0
2010-02-28|38.8|33.8|46.4|28.6||9.4|2.6|8.0||
2010-03-01|36.0|32.0|46.4|32.2||6.1|2.0|6.0||
2010-03-02|42.7|32.0|59.0|26.1||10.0|2.6|7.0||0.0
2010-03-03|45.3|33.8|59.0|25.6||10.0|1.5|5.1||0.0
2010-03-04|46.7|33.8|59.0|25.2||10.0|2.7|6.0||0.0
2010-03-05|43.5|33.8|59.0|30.3||8.1|3.7|15.9|21.0|0.0
2010-03-06|44.2|33.8|59.0|28.9||10.0|4.0|13.0|16.9|0.0
2010-03-07|43.3|35.6|59.0|34.5||8.1|3.1|8.9||0.0
2010-03-08|44.8|41.0|51.8|35.1||9.6|1.7|7.0||0.0
2010-03-09|48.0|35.6|59.0|25.9||10.0|3.7|15.0|22.9|0.0
2010-03-10|42.3|33.8|51.8|31.5||9.4|3.6|11.1|18.1|
2010-03-11|38.4|32.0|51.8|28.2||9.2|2.2|13.0|20.0|
2010-03-12|46.5|37.4|60.8|11.1||10.0|4.5|15.0|20.0|0.0
2010-03-13|55.3|42.8|62.6|18.6||10.0|3.5|8.9||0.0
2010-03-14|42.1|35.6|62.6|31.2||8.8|4.8|8.9||
2010-03-15|39.8|35.6|53.6|34.0||5.9|1.2|7.0||
2010-03-16|48.6|33.8|66.2|25.6||10.0|1.8|6.0||0.0
2010-03-17|56.6|39.2|73.4|17.5||10.0|3.0|8.9||0.0
2010-03-18|54.5|41.0|68.0|20.1||10.0|3.8|14.0|19.0|0.0
2010-03-19|36.4|30.2|55.4|31.2||3.9|7.3|16.9|22.0|
2010-03-20|28.3|17.6|39.2|16.9||9.2|3.5|7.0||
2010-03-21|37.9|28.4|60.8|20.4||10.0|1.4|6.0||0.0
2010-03-22|54.8|44.6|69.8|16.2||10.0|4.4|15.9|21.0|0.0
2010-03-23|48.6|35.6|68.0|30.3||9.1|4.2|15.0|19.0|
2010-03-24|35.6|32.0|42.8|31.1||4.7|2.1|9.9||
2010-03-25|37.1|28.4|46.4|28.7||10.0|1.4|4.1||0.0
2010-03-26|41.2|33.8|46.4|30.9||9.8|3.0|13.0|15.0|
2010-03-27|44.0|39.2|53.6|28.5||10.0|9.0|22.0|29.9|
2010-03-28|49.8|35.6|66.2|18.5||10.0|4.4|14.0|19.0|0.0
2010-03-29|59.1|48.2|73.4|9.8||10.0|5.2|16.9|25.1|0.0
2010-03-30|67.8|57.2|82.4|16.9||10.0|6.5|20.0|35.0|0.0
2010-03-31|60.4|44.6|77.0|23.9||10.0|5.8|22.0|32.1|0.0
2010-04-01|48.8|41.0|55.4|35.0||9.9|3.8|22.9|34.0|
2010-04-02|43.0|35.6|51.8|8.1||10.0|7.4|16.9|26.0|0.0
2010-04-03|46.2|33.8|59.0|13.5||10.0|10.8|27.0|42.0|0.0
2010-04-04|47.4|35.6|66.2|22.2||10.0|7.4|22.0|30.9|0.0
2010-04-05|50.6|37.4|64.4|25.2||10.0|3.0|11.1|15.0|0.0
2010-04-06|49.6|41.0|60.8|26.1||9.8|11.2|29.9|42.0|
2010-04-07|41.9|33.8|51.8|23.3||8.1|6.5|23.9|35.9|
2010-04-08|46.5|33.8|68.0|25.3||10.0|3.2|13.0|16.9|0.0
2010-04-09|55.2|41.0|68.0|22.2||10.0|3.8|11.1|15.9|0.0
2010-04-10|50.2|37.4|66.2|31.3||10.0|3.9|19.0|23.9|0.0
2010-04-11|52.4|37.4|71.6|34.2||10.0|1.4|7.0||0.0
2010-04-12|61.3|48.2|78.8|31.6||10.0|3.0|14.0|18.1|0.0
2010-04-13|63.3|51.8|78.8|27.9||10.0|10.0|27.0|42.9|
2010-04-14|57.0|41.0|71.6|19.0||10.0|5.7|14.0|21.0|0.0
2010-04-15|59.9|48.2|69.8|28.7||10.0|4.5|11.1|15.0|0.0
2010-04-16|54.5|46.4|68.0|36.1||10.0|4.0|11.1||0.0
2010-04-17|50.9|44.6|55.4|41.9||9.6|2.6|7.0||
2010-04-18|52.7|37.4|71.6|41.1||7.8|2.8|9.9|15.0|
2010-04-19|61.3|46.4|73.4|32.5||10.0|3.7|8.9|19.0|0.0
2010-04-20|56.2|44.6|71.6|39.7||9.9|2.1|7.0||0.0
2010-04-21|54.1|46.4|62.6|45.1||9.9|3.3|7.0||
2010-04-22|54.2|50.0|62.6|48.1||9.2|4.3|15.9|21.0|
2010-04-23|46.0|35.6|53.6|41.8||8.3|4.9|15.9|18.1|
2010-04-24|49.9|44.6|60.8|34.1||10.0|8.4|21.0|30.9|
2010-04-25|55.0|42.8|64.4|32.6||10.0|6.2|18.1|23.9|0.0
2010-04-26|43.9|35.6|55.4|34.0||8.1|3.8|15.0|21.0|
2010-04-27|50.8|37.4|68.0|34.2||10.0|2.7|8.0||0.0
2010-04-28|68.2|53.6|78.8|27.8||10.0|9.1|22.0|37.9|0.0
2010-04-29|49.5|35.6|73.4|32.5||8.2|6.6|18.1|27.0|
2010-04-30|45.0|35.6|53.6|18.5||10.0|4.8|15.9|26.0|
2010-05-01|46.2|35.6|59.0|28.6||10.0|3.5|15.9|22.0|0.0
2010-05-02|48.3|37.4|59.0|27.1||10.0|6.3|16.9|22.0|0.0
2010-05-03|52.2|41.0|68.0|27.8||10.0|5.2|23.9|32.1|0.0
2010-05-04|65.9|53.6|73.4|23.2||10.0|16.7|39.0|59.1|0.0
2010-05-05|55.4|41.0|68.0|21.9||10.0|9.4|29.9|44.9|0.0
2010-05-06|51.0|42.8|62.6|34.1||9.9|3.8|12.0|14.0|
2010-05-07|44.1|35.6|55.4|31.7||9.0|3.3|14.0|19.0|
2010-05-08|47.4|35.6|59.0|24.7||10.0|4.0|8.9||0.0
2010-05-09|54.3|42.8|71.6|34.5||10.0|1.9|7.0||0.0
2010-05-10|59.8|51.8|69.8|39.7||9.6|3.9|28.0|42.9|
2010-05-11|48.6|44.6|64.4|36.7||10.0|4.6|14.0||
2010-05-12|38.0|35.6|44.6|36.3||6.7|4.2|11.1|15.0|
2010-05-13|41.8|35.6|53.6|35.6||7.6|2.2|7.0||
2010-05-14|49.3|42.8|59.0|41.6||9.4|2.0|8.9||
2010-05-15|51.6|46.4|62.6|46.1||8.6|1.5|8.9||
2010-05-16|53.8|41.0|68.0|41.2||10.0|2.8|8.9|15.0|
2010-05-17|61.8|48.2|77.0|42.1||10.0|2.6|8.0||0.0
2010-05-18|62.3|53.6|77.0|49.3||10.0|2.5|8.9|14.0|
