Month,American,Cargo,Delta,Frontier,Other,Southwest,United,United Express
1995-02,64,42,51,28,251,,561,210
1995-03,2228,728,1745,844,6403,,20016,8072
1995-04,2106,666,1664,815,5130,,18743,6762
1995-05,2186,670,1788,900,4747,,19578,7141
1995-06,2194,664,1786,880,4531,,18887,7657
1995-07,2314,584,1836,896,4341,,19495,8074
1995-08,2300,674,1850,940,3801,,19361,8434
1995-09,2066,680,1706,797,3595,,17957,7866
1995-10,2082,798,1764,725,3312,,18408,7360
1995-11,1946,844,1672,1090,2991,,17261,7073
1995-12,2072,1126,1714,1343,3157,,18380,8106
1996-01,2002,730,1710,1256,2993,,18180,8361
1996-02,1958,734,1606,1132,2878,,18216,7957
1996-03,2128,766,1730,1221,3110,,19789,8330
1996-04,1928,732,1634,1206,2830,,18501,7261
1996-05,1879,774,1684,1248,2721,,19064,7284
1996-06,1968,728,1672,1345,2809,,19022,7394
1996-07,2144,728,1730,1480,2724,,19949,7485
1996-08,2196,798,1712,1508,3056,,20085,7239
1996-09,1886,702,1646,1367,2745,,18786,6637
1996-10,1948,832,1744,1393,2969,,19370,6752
1996-11,1796,772,1632,1367,2884,,18253,6392
1996-12,1672,950,1970,1388,3374,,19352,7534
1997-01,1930,780,1776,1440,3251,,18951,8040
1997-02,1768,690,1574,1379,3278,,17861,7423
1997-03,1988,758,1760,1645,3843,,20302,8212
1997-04,1876,782,1678,1407,3339,,19295,7388
1997-05,1912,764,1732,1581,3195,,19259,7707
1997-06,1934,770,1712,1628,3235,,18269,7805
1997-07,2060,846,1780,1722,6921,,20021,8150
1997-08,2124,744,1761,1713,6898,,20468,8067
1997-09,1880,794,1672,1725,6611,,19860,7145
1997-10,1848,858,1696,1701,6390,,19240,6715
1997-11,1896,840,1635,1578,6321,,18655,6273
1997-12,2072,1084,1810,1752,7428,,19949,6913
1998-01,2110,880,1818,1817,6943,,19695,7582
1998-02,1936,808,1634,1688,3877,,18241,7164
1998-03,2034,900,1814,1889,3561,,20545,7061
1998-04,1918,914,1722,1688,3343,,19691,5624
1998-05,1858,948,1676,1594,3276,,20845,4681
1998-06,2040,942,1692,1586,3456,,21798,4444
1998-07,2204,1016,1793,1744,3494,,23095,4718
1998-08,2114,962,1735,1960,3465,,23747,4766
1998-09,1894,964,1391,1812,3077,,22152,4470
1998-10,1918,1012,1772,1842,3048,,23099,4360
1998-11,1854,932,1717,1781,2721,,21786,4118
1998-12,1938,1268,1809,2132,3199,,24121,4690
1999-01,1900,982,1788,2361,3035,,23356,4970
1999-02,1654,980,1672,2198,2886,,21961,4742
1999-03,2003,972,1801,2455,3256,,24602,5690
1999-04,1828,992,1766,2400,3132,,22493,4638
1999-05,1926,958,1797,2504,3054,,23577,4852
1999-06,1950,940,1806,2526,2985,,24443,5042
1999-07,1996,954,1846,2701,3117,,25325,5526
1999-08,2036,946,1855,2721,3164,,25847,5646
1999-09,1916,912,1776,2493,2986,,23719,5216
1999-10,1948,912,1844,2561,3047,,24539,5326
1999-11,1870,856,1745,2473,2947,,21421,5086
1999-12,1944,1138,1816,2677,3376,,23509,5670
2000-01,1978,820,1837,2628,3233,,23216,6038
2000-02,1869,860,1757,2580,3201,,22321,5662
2000-03,2010,924,1866,2931,3646,,24464,6112
2000-04,1878,848,1815,2792,3569,,23911,5490
2000-05,2014,848,1897,2896,3561,,24424,5614
2000-06,2088,860,1936,2926,3753,,24987,5580
2000-07,2579,844,1974,3051,3565,,25209,5914
2000-08,2649,958,1987,3141,3577,,25257,5772
2000-09,2410,840,1918,3060,3316,,23975,5470
2000-10,2485,878,1978,3192,3444,,25046,5760
2000-11,2436,952,1879,2999,3332,,22089,5556
2000-12,2465,1132,1903,3053,3376,,23785,5948
2001-01,2542,878,1974,3248,3303,,23783,6102
2001-02,2322,880,1731,2873,2899,,21137,5026
2001-03,2649,978,1941,3284,3202,,24524,6106
2001-04,2448,938,1818,3092,2742,,22224,5294
2001-05,2552,1018,1948,3388,2995,,24820,5004
2001-06,2635,1018,1990,3414,2961,,24715,5194
2001-07,2877,958,2090,3818,2981,,25930,5656
2001-08,2891,1072,2113,3801,3024,,26288,5524
2001-09,1960,922,1649,2773,2233,,17641,4158
2001-10,2120,1054,1737,3099,2245,,21192,5000
2001-11,2136,994,1756,2977,2216,,17682,4704
2001-12,2240,1058,1954,3128,2365,,18411,5444
2002-01,2284,1020,1872,3524,7182,,14203,6272
2002-02,2080,926,1756,3510,6590,,13328,6060
2002-03,2328,972,2065,4322,6998,,15173,6520
2002-04,2320,916,1941,4360,7062,,15430,6300
2002-05,2402,944,1993,4728,7627,,16176,6840
2002-06,2398,862,2000,4725,7669,,16755,6654
2002-07,2564,874,2106,5269,8002,,17541,6944
2002-08,2338,958,2118,5246,7935,,17679,7180
2002-09,2048,1002,1804,4878,7463,,15610,6646
2002-10,1974,1104,1920,4976,8077,,16185,7027
2002-11,1970,1184,1824,4730,7371,,14476,6826
2002-12,2126,1326,1974,5154,12148,,15472,7866
2003-01,2126,1264,1909,5236,7683,,15380,7972
2003-02,1858,1112,1768,4773,6759,,14050,7036
2003-03,1958,1024,1863,5062,7069,,14826,7257
