Month,American,Cargo,Delta,Frontier,Other,Southwest,United,United Express,Grand
1995-02,5833,0,4805,1434,8625,,47230,2635,70562
1995-03,228196,0,200964,36703,245171,,1962445,169190,2842669
1995-04,184229,0,157853,40050,191393,,1724836,124351,2422712
1995-05,187990,0,162622,41403,171425,,1833305,135800,2532545
1995-06,229348,0,198499,43754,186030,,1975754,170033,2803418
1995-07,259215,0,222677,48714,202199,,2001992,182252,2917049
1995-08,262146,0,225171,63555,165921,,2013572,202795,2933160
1995-09,193600,0,175195,46090,146268,,1693286,161125,2415564
1995-10,181301,0,172299,41741,132355,,1786989,154709,2469394
1995-11,158066,0,164439,71684,101150,,1656008,142176,2293523
1995-12,201734,0,196632,86922,112811,,1811461,179603,2589163
1996-01,190913,0,187742,85574,110799,,1722852,177437,2475317
1996-02,185774,0,188882,77753,132357,,1730614,183843,2499223
1996-03,235231,0,220495,100527,158944,,2062532,194721,2972450
1996-04,172746,0,179340,85674,120648,,1758331,138287,2455026
1996-05,171146,0,187344,90060,121000,,1890598,139383,2599531
1996-06,207241,0,226144,103657,130819,,2032458,165084,2865403
1996-07,243693,0,240864,115960,127280,,2153680,182991,3064468
1996-08,247813,0,244383,123881,128223,,2241132,184864,3170296
1996-09,167406,0,180417,79690,97714,,1876438,147009,2548674
1996-10,178039,0,174321,86745,105473,,1964462,143294,2652334
1996-11,155992,0,154273,88695,97731,,1662796,120902,2280389
1996-12,181632,0,213095,103242,110682,,1937477,166935,2713063
1997-01,197688,0,193765,106441,109840,,1804242,172392,2584368
1997-02,173377,0,185761,100488,120855,,1761092,164962,2506535
1997-03,234604,0,231688,124988,166455,,2169167,197068,3123970
1997-04,176443,0,173379,106529,123857,,1856425,140959,2577592
1997-05,173058,0,175829,116463,120417,,1924872,145556,2656195
1997-06,206071,0,219353,120681,148641,,2121238,181511,2997495
1997-07,253930,0,248444,120693,306913,,2259718,218103,3407801
1997-08,256840,0,242100,122006,365735,,2274046,215690,3476417
1997-09,192287,0,189813,99688,284018,,1965783,171838,2903427
1997-10,184352,0,184062,102004,267508,,1977822,154986,2870734
1997-11,174466,0,166135,87253,277496,,1897258,131276,2733884
1997-12,215781,0,212694,109241,315424,,2103979,174300,3131419
1998-01,216144,0,191136,112855,268650,,1899171,164929,2852885
1998-02,210874,0,186036,115779,125792,,1890370,169518,2698369
1998-03,260905,0,229442,136758,152481,,2328064,192550,3300200
1998-04,216079,0,193701,123320,118810,,2083303,140279,2875492
1998-05,194809,0,185444,118468,125806,,2156158,152330,2933015
1998-06,238506,0,230971,123851,134091,,2336497,184472,3248388
1998-07,281949,0,265817,140748,145755,,2457049,210774,3502092
1998-08,264834,0,246422,157878,138662,,2458592,214651,3481039
1998-09,222822,0,166261,121725,117275,,2185658,189410,3003151
1998-10,192189,0,209300,117269,129699,,2203965,167595,3020017
1998-11,159661,0,190474,108284,128244,,2033620,154285,2774568
1998-12,205737,0,217991,152338,145930,,2225299,194889,3142184
1999-01,198700,0,201894,164475,138592,,1997600,186602,2887863
1999-02,172110,0,194503,160756,139007,,1934698,184768,2785842
1999-03,236267,0,241045,198350,186889,,2344443,231112,3438106
1999-04,191912,0,200082,186284,159184,,2068497,160853,2966812
1999-05,191496,0,198460,186902,162201,,2123443,167950,3030452
1999-06,229762,0,255222,212808,176326,,2357864,207192,3439174
1999-07,252358,0,279965,235361,173906,,2564425,243996,3750011
1999-08,239333,0,271662,233710,171498,,2494549,234988,3645740
1999-09,195531,0,226685,187257,148603,,2100102,197924,3056102
1999-10,201059,0,216342,185747,145848,,2188208,192043,3129247
1999-11,185448,0,202382,176964,143828,,1986600,169021,2864243
1999-12,202501,0,223304,179448,144768,,2090185,200219,3040425
2000-01,183465,0,212702,184290,150256,,1925632,196894,2853239
2000-02,198411,0,208061,205710,166557,,1956841,201998,2937578
2000-03,244805,0,256408,257312,209029,,2318284,235834,3521672
2000-04,203856,0,211949,224825,181707,,2079617,172374,3074328
2000-05,216847,0,225948,248846,193910,,2144029,179464,3209044
2000-06,253915,0,279766,280162,225620,,2371107,201060,3611630
2000-07,300372,0,310966,289114,217613,,2382754,218798,3719617
2000-08,307315,0,305111,310782,213549,,2179837,202938,3519532
2000-09,247274,0,241718,272323,165353,,1863285,172518,2962471
2000-10,240469,0,230590,260751,165931,,2138621,206099,3242461
2000-11,224135,0,215415,251356,163671,,1935078,178838,2968493
2000-12,240326,0,230479,255320,176178,,2036806,192513,3131622
2001-01,219405,0,219967,232709,170738,,1852174,196758,2891751
2001-02,221520,0,205374,227680,176336,,1788247,188260,2807417
2001-03,286787,0,258856,291074,226974,,2233118,232272,3529081
2001-04,238123,0,204430,267891,188663,,1916590,180651,2996348
2001-05,242396,0,212835,279677,200387,,2080349,181875,3197519
2001-06,291655,0,264014,321182,223308,,2292343,205241,3597743
2001-07,334676,0,293676,348474,235147,,2363966,240669,3816608
2001-08,320489,0,287418,310351,228279,,2384550,243159,3774246
2001-09,159777,0,151188,162743,133412,,1238734,138314,1984168
2001-10,172607,0,173595,208507,154612,,1699361,175239,2583921
2001-11,187410,0,184450,218611,158318,,1490218,161377,2400384
2001-12,211972,0,211969,236192,174351,,1498770,180366,2513620
2002-01,201942,0,191036,242152,191041,,1452526,205300,2483997
2002-02,200023,0,192780,241336,199629,,1450977,219065,2503810
2002-03,255981,0,258411,352500,255279,,1773034,248795,3144000
2002-04,204495,0,202479,304133,228699,,1637194,197232,2774232
2002-05,222209,0,217034,331009,272216,,1751569,214887,3008924
2002-06,261575,0,264387,347694,310500,,1943688,247625,3375469
2002-07,269544,0,285487,382925,324635,,2066814,266064,3595469
2002-08,240071,0,276172,377447,290792,,2081458,263657,3529597
2002-09,186293,0,203620,286797,233946,,1582968,215776,2709400
2002-10,188417,0,211211,330706,241134,,1644304,225917,2841689
2002-11,167746,0,176200,312017,224265,,1436801,207074,2524103
2002-12,225747,0,234459,407882,265837,,1745237,282232,3161394
2003-01,186961,0,202206,330869,229503,,1555321,273856,2778716
2003-02,181312,0,197628,331074,220813,,1511314,270554,2712695
2003-03,214255,0,221307,398629,272865,,1693727,291913,3092696
2003-04,183527,0,180043,381884,241870,,1586951,231543,2805818
2003-05,211200,0,192075,427950,266283,4441.0,1688521,238910,3029380
2003-06,246237,0,235343,497353,308324,12838.0,1843616,264687,3408398
2003-07,267379,0,249900,551353,341250,18964.0,2021907,294999,3745752
2003-08,253647,0,247623,539379,326965,19821.0,1911615,293970,3593020
2003-09,192242,0,206977,459336,252135,15907.0,1564113,269386,2960096
2003-10,201073,0,222382,502701,264303,15525.0,1674851,287989,3168824
2003-11,163779,0,192187,471161,256697,12629.0,1535041,256886,2888380
2003-12,195801,0,224269,542538,303231,18210.0,1712327,325116,3321492
2004-01,171782,0,202730,485997,282391,17204.0,1569052,334756,3063912
2004-02,165910,0,193877,474888,287630,12798.0,1542767,347868,3025738
2004-03,205039,0,233260,597040,345536,17539.0,1838032,425120,3661566
2004-04,175232,0,207978,531284,303603,12757.0,1715619,379914,3326387
2004-05,175578,0,231382,543487,329507,15451.0,1836227,400457,3532089
2004-06,228542,0,294315,650085,377960,19910.0,1993382,425279,3989473
2004-07,247125,0,314171,728169,405210,22169.0,2093300,418504,4228648
2004-08,230124,0,287323,651428,391996,19645.0,2021648,407259,4009423
2004-09,191811,0,221462,525568,301120,13045.0,1678067,373395,3304468
2004-10,201218,0,223589,615821,306294,13769.0,1727395,361943,3450029
2004-11,174196,0,206898,585235,279693,11564.0,1586800,340619,3185005
2004-12,188121,0,235253,631236,301124,13895.0,1722729,402697,3495055
2005-01,180721,0,215389,578875,262202,15144.0,1561564,420812,3234707
2005-02,177520,0,221004,562395,253144,14256.0,1426241,410238,3064798
2005-03,213954,0,274197,734235,325610,20912.0,1733015,501135,3803058
2005-04,188970,0,212465,636423,287929,18103.0,1487432,425607,3256929
2005-05,215223,0,230286,714367,326512,19484.0,1718191,451930,3675993
2005-06,248730,0,287330,778668,373255,25498.0,1862168,495638,4071287
2005-07,253187,0,300892,850642,391226,30054.0,1905557,544221,4275779
2005-08,244862,0,273439,770730,381316,26714.0,1891233,533932,4122226
2005-09,205038,0,226467,664371,318077,16665.0,1558793,461073,3450484
2005-10,198790,0,217803,707189,305042,17520.0,1643386,433408,3523138
2005-11,266243,0,191567,693146,277502,17613.0,1530016,386354,3362441
2005-12,190920,3,192648,727318,306354,20158.0,1685102,424026,3546529
2006-01,199038,0,170738,675330,263082,99404.0,1631664,459361,3498617
2006-02,181351,0,162202,674442,240174,100018.0,1583521,445262,3386970
2006-03,210215,0,211228,856315,297782,155147.0,1945917,508264,4184868
2006-04,196466,0,176089,821694,269557,128720.0,1782642,457100,3832268
2006-05,213749,0,183280,900003,269138,142120.0,1982551,489589,4180430
2006-06,229326,0,199537,951459,306619,161960.0,2046957,528788,4424646
2006-07,239670,0,210799,1000102,331221,177416.0,2082344,565198,4606750
2006-08,223851,0,204644,909131,312450,207175.0,1971301,554614,4383166
2006-09,191802,0,178765,736082,252828,170936.0,1735591,493629,3759633
2006-10,194426,0,184590,816897,250602,178032.0,1823869,503199,3951615
2006-11,186724,0,172550,767960,230431,161781.0,1669733,485687,3674866
2006-12,185863,0,163058,679920,226403,175547.0,1573147,437249,3441187
2007-01,232664,0,172793,709203,196003,212877.0,1685088,492669,3701297
2007-02,215830,0,169854,707574,181086,183454.0,1604288,458896,3520982
2007-03,268893,0,199077,896125,243713,233097.0,1981763,541571,4364239
2007-04,229363,0,174672,853177,245717,193854.0,1840492,500739,4038014
2007-05,243684,0,191559,953840,262161,227239.0,1897778,523460,4299721
2007-06,270525,0,223773,1024292,292708,288108.0,1943601,526931,4569938
2007-07,289328,0,246927,1118460,313038,310290.0,1992449,550590,4821082
2007-08,275890,0,231920,1069951,303955,293593.0,1971160,545152,4691621
2007-09,234444,0,200281,875409,251006,230625.0,1672316,487091,3951172
2007-10,234694,0,213372,925108,250257,238161.0,1784014,511678,4157284
2007-11,220046,0,189221,878618,231898,265568.0,1618402,457883,3861636
2007-12,219867,0,216835,866460,235949,281504.0,1616293,449458,3886366
2008-01,215145,0,199316,865775,235103,268336.0,1531432,445721,3760828
2008-02,203921,0,195401,883802,246063,274010.0,1578486,452679,3834362
2008-03,224517,0,230234,1118849,302132,332241.0,1882646,506728,4597347
2008-04,201501,0,194700,1000263,262052,296219.0,1651539,471838,4078112
2008-05,239430,0,200384,1110785,272432,392915.0,1745368,489428,4450742
2008-06,255503,0,214512,1210467,240977,511002.0,1888060,509308,4829829
2008-07,264386,0,221691,1302737,237789,540235.0,1909915,523752,5000505
